RGBController,Category,Type,Name,VID,PID,SVID,SPID,Save,Direct,Effects,Comments
"Corsair K95 Platinum XT Keyboard","Keyboard","USB","Corsair K95 RGB PLATINUM XT","1B1C","1B89","","","❌","✔️","❌",""
"Corsair Peripheral","Keyboard
Mouse
Mousemat
HeadsetStand","USB","Corsair K55 RGB","1B1C","1B3D","","","❌","✔️","⚒️","
All controllers support `Direct` mode
Currently HW modes are implemented for the following devices:
* Corsair K70 RGB MK.2
* Corsair K70 RGB MK.2 Low Profile"
"Corsair Peripheral","Keyboard
Mouse
Mousemat
HeadsetStand","USB","Corsair K65 RGB","1B1C","1B17","","","❌","✔️","⚒️","
All controllers support `Direct` mode
Currently HW modes are implemented for the following devices:
* Corsair K70 RGB MK.2
* Corsair K70 RGB MK.2 Low Profile"
"Corsair Peripheral","Keyboard
Mouse
Mousemat
HeadsetStand","USB","Corsair K65 LUX RGB","1B1C","1B37","","","❌","✔️","⚒️","
All controllers support `Direct` mode
Currently HW modes are implemented for the following devices:
* Corsair K70 RGB MK.2
* Corsair K70 RGB MK.2 Low Profile"
"Corsair Peripheral","Keyboard
Mouse
Mousemat
HeadsetStand","USB","Corsair K65 RGB RAPIDFIRE","1B1C","1B39","","","❌","✔️","⚒️","
All controllers support `Direct` mode
Currently HW modes are implemented for the following devices:
* Corsair K70 RGB MK.2
* Corsair K70 RGB MK.2 Low Profile"
"Corsair Peripheral","Keyboard
Mouse
Mousemat
HeadsetStand","USB","Corsair K68 RGB","1B1C","1B4F","","","❌","✔️","⚒️","
All controllers support `Direct` mode
Currently HW modes are implemented for the following devices:
* Corsair K70 RGB MK.2
* Corsair K70 RGB MK.2 Low Profile"
"Corsair Peripheral","Keyboard
Mouse
Mousemat
HeadsetStand","USB","Corsair K70 RGB","1B1C","1B13","","","❌","✔️","⚒️","
All controllers support `Direct` mode
Currently HW modes are implemented for the following devices:
* Corsair K70 RGB MK.2
* Corsair K70 RGB MK.2 Low Profile"
"Corsair Peripheral","Keyboard
Mouse
Mousemat
HeadsetStand","USB","Corsair K70 LUX","1B1C","1B36","","","❌","✔️","⚒️","
All controllers support `Direct` mode
Currently HW modes are implemented for the following devices:
* Corsair K70 RGB MK.2
* Corsair K70 RGB MK.2 Low Profile"
"Corsair Peripheral","Keyboard
Mouse
Mousemat
HeadsetStand","USB","Corsair K70 LUX RGB","1B1C","1B33","","","❌","✔️","⚒️","
All controllers support `Direct` mode
Currently HW modes are implemented for the following devices:
* Corsair K70 RGB MK.2
* Corsair K70 RGB MK.2 Low Profile"
"Corsair Peripheral","Keyboard
Mouse
Mousemat
HeadsetStand","USB","Corsair K70 RGB RAPIDFIRE","1B1C","1B38","","","❌","✔️","⚒️","
All controllers support `Direct` mode
Currently HW modes are implemented for the following devices:
* Corsair K70 RGB MK.2
* Corsair K70 RGB MK.2 Low Profile"
"Corsair Peripheral","Keyboard
Mouse
Mousemat
HeadsetStand","USB","Corsair K70 RGB MK.2","1B1C","1B49","","","❌","✔️","⚒️","
All controllers support `Direct` mode
Currently HW modes are implemented for the following devices:
* Corsair K70 RGB MK.2
* Corsair K70 RGB MK.2 Low Profile"
"Corsair Peripheral","Keyboard
Mouse
Mousemat
HeadsetStand","USB","Corsair K70 RGB MK.2 SE","1B1C","1B6B","","","❌","✔️","⚒️","
All controllers support `Direct` mode
Currently HW modes are implemented for the following devices:
* Corsair K70 RGB MK.2
* Corsair K70 RGB MK.2 Low Profile"
"Corsair Peripheral","Keyboard
Mouse
Mousemat
HeadsetStand","USB","Corsair K70 RGB MK.2 Low Profile","1B1C","1B55","","","❌","✔️","⚒️","
All controllers support `Direct` mode
Currently HW modes are implemented for the following devices:
* Corsair K70 RGB MK.2
* Corsair K70 RGB MK.2 Low Profile"
"Corsair Peripheral","Keyboard
Mouse
Mousemat
HeadsetStand","USB","Corsair K95 RGB","1B1C","1B11","","","❌","✔️","⚒️","
All controllers support `Direct` mode
Currently HW modes are implemented for the following devices:
* Corsair K70 RGB MK.2
* Corsair K70 RGB MK.2 Low Profile"
"Corsair Peripheral","Keyboard
Mouse
Mousemat
HeadsetStand","USB","Corsair K95 RGB PLATINUM","1B1C","1B2D","","","❌","✔️","⚒️","
All controllers support `Direct` mode
Currently HW modes are implemented for the following devices:
* Corsair K70 RGB MK.2
* Corsair K70 RGB MK.2 Low Profile"
"Corsair Peripheral","Keyboard
Mouse
Mousemat
HeadsetStand","USB","Corsair Strafe","1B1C","1B20","","","❌","✔️","⚒️","
All controllers support `Direct` mode
Currently HW modes are implemented for the following devices:
* Corsair K70 RGB MK.2
* Corsair K70 RGB MK.2 Low Profile"
"Corsair Peripheral","Keyboard
Mouse
Mousemat
HeadsetStand","USB","Corsair Strafe Red","1B1C","1B44","","","❌","✔️","⚒️","
All controllers support `Direct` mode
Currently HW modes are implemented for the following devices:
* Corsair K70 RGB MK.2
* Corsair K70 RGB MK.2 Low Profile"
"Corsair Peripheral","Keyboard
Mouse
Mousemat
HeadsetStand","USB","Corsair Strafe MK.2","1B1C","1B48","","","❌","✔️","⚒️","
All controllers support `Direct` mode
Currently HW modes are implemented for the following devices:
* Corsair K70 RGB MK.2
* Corsair K70 RGB MK.2 Low Profile"
"Corsair Peripheral","Keyboard
Mouse
Mousemat
HeadsetStand","USB","Corsair Glaive RGB","1B1C","1B34","","","❌","✔️","⚒️","
All controllers support `Direct` mode
Currently HW modes are implemented for the following devices:
* Corsair K70 RGB MK.2
* Corsair K70 RGB MK.2 Low Profile"
"Corsair Peripheral","Keyboard
Mouse
Mousemat
HeadsetStand","USB","Corsair Glaive RGB PRO","1B1C","1B74","","","❌","✔️","⚒️","
All controllers support `Direct` mode
Currently HW modes are implemented for the following devices:
* Corsair K70 RGB MK.2
* Corsair K70 RGB MK.2 Low Profile"
"Corsair Peripheral","Keyboard
Mouse
Mousemat
HeadsetStand","USB","Corsair Harpoon RGB","1B1C","1B3C","","","❌","✔️","⚒️","
All controllers support `Direct` mode
Currently HW modes are implemented for the following devices:
* Corsair K70 RGB MK.2
* Corsair K70 RGB MK.2 Low Profile"
"Corsair Peripheral","Keyboard
Mouse
Mousemat
HeadsetStand","USB","Corsair Harpoon RGB PRO","1B1C","1B75","","","❌","✔️","⚒️","
All controllers support `Direct` mode
Currently HW modes are implemented for the following devices:
* Corsair K70 RGB MK.2
* Corsair K70 RGB MK.2 Low Profile"
"Corsair Peripheral","Keyboard
Mouse
Mousemat
HeadsetStand","USB","Corsair Ironclaw RGB","1B1C","1B5D","","","❌","✔️","⚒️","
All controllers support `Direct` mode
Currently HW modes are implemented for the following devices:
* Corsair K70 RGB MK.2
* Corsair K70 RGB MK.2 Low Profile"
"Corsair Peripheral","Keyboard
Mouse
Mousemat
HeadsetStand","USB","Corsair M65","1B1C","1B12","","","❌","✔️","⚒️","
All controllers support `Direct` mode
Currently HW modes are implemented for the following devices:
* Corsair K70 RGB MK.2
* Corsair K70 RGB MK.2 Low Profile"
"Corsair Peripheral","Keyboard
Mouse
Mousemat
HeadsetStand","USB","Corsair M65 PRO","1B1C","1B2E","","","❌","✔️","⚒️","
All controllers support `Direct` mode
Currently HW modes are implemented for the following devices:
* Corsair K70 RGB MK.2
* Corsair K70 RGB MK.2 Low Profile"
"Corsair Peripheral","Keyboard
Mouse
Mousemat
HeadsetStand","USB","Corsair M65 RGB Elite","1B1C","1B5A","","","❌","✔️","⚒️","
All controllers support `Direct` mode
Currently HW modes are implemented for the following devices:
* Corsair K70 RGB MK.2
* Corsair K70 RGB MK.2 Low Profile"
"Corsair Peripheral","Keyboard
Mouse
Mousemat
HeadsetStand","USB","Corsair Nightsword","1B1C","1B5C","","","❌","✔️","⚒️","
All controllers support `Direct` mode
Currently HW modes are implemented for the following devices:
* Corsair K70 RGB MK.2
* Corsair K70 RGB MK.2 Low Profile"
"Corsair Peripheral","Keyboard
Mouse
Mousemat
HeadsetStand","USB","Corsair Scimitar RGB","1B1C","1B1E","","","❌","✔️","⚒️","
All controllers support `Direct` mode
Currently HW modes are implemented for the following devices:
* Corsair K70 RGB MK.2
* Corsair K70 RGB MK.2 Low Profile"
"Corsair Peripheral","Keyboard
Mouse
Mousemat
HeadsetStand","USB","Corsair Scimitar PRO RGB","1B1C","1B3E","","","❌","✔️","⚒️","
All controllers support `Direct` mode
Currently HW modes are implemented for the following devices:
* Corsair K70 RGB MK.2
* Corsair K70 RGB MK.2 Low Profile"
"Corsair Peripheral","Keyboard
Mouse
Mousemat
HeadsetStand","USB","Corsair Scimitar Elite RGB","1B1C","1B8B","","","❌","✔️","⚒️","
All controllers support `Direct` mode
Currently HW modes are implemented for the following devices:
* Corsair K70 RGB MK.2
* Corsair K70 RGB MK.2 Low Profile"
"Corsair Peripheral","Keyboard
Mouse
Mousemat
HeadsetStand","USB","Corsair Sabre RGB","1B1C","1B2F","","","❌","✔️","⚒️","
All controllers support `Direct` mode
Currently HW modes are implemented for the following devices:
* Corsair K70 RGB MK.2
* Corsair K70 RGB MK.2 Low Profile"
"Corsair Peripheral","Keyboard
Mouse
Mousemat
HeadsetStand","USB","Corsair MM800 RGB Polaris","1B1C","1B3B","","","❌","✔️","⚒️","
All controllers support `Direct` mode
Currently HW modes are implemented for the following devices:
* Corsair K70 RGB MK.2
* Corsair K70 RGB MK.2 Low Profile"
"Corsair Peripheral","Keyboard
Mouse
Mousemat
HeadsetStand","USB","Corsair ST100 RGB","1B1C","0A34","","","❌","✔️","⚒️","
All controllers support `Direct` mode
Currently HW modes are implemented for the following devices:
* Corsair K70 RGB MK.2
* Corsair K70 RGB MK.2 Low Profile"
"Corsair K55 RGB Pro","Keyboard","USB","Corsair K55 RGB PRO","1B1C","1BA4","","","❌","✔️","❌",""
"Corsair K55 RGB Pro","Keyboard","USB","Corsair K60 RGB PRO","1B1C","1BA0","","","❌","✔️","❌",""
"Corsair K55 RGB Pro","Keyboard","USB","Corsair K60 RGB PRO Low Profile","1B1C","1BAD","","","❌","✔️","❌",""
"Corsair K55 RGB Pro","Keyboard","USB","Corsair MM700","1B1C","1B9B","","","❌","✔️","❌",""
"Corsair Vengeance","RAM","SMBus","","","","","","🤖","❌","✔️",""
"Corsair Vengeance Pro","RAM","SMBus","","","","","","🤖","✔️","✔️",""
"Corsair Wireless Peripheral","Keyboard","USB","Corsair K57 RGB (Wired)","1B1C","1B6E","","","❌","✔️","❌",""
"Cougar 700K Evo Keyboard","Keyboard","USB","Cougar 700K EVO Gaming Keyboard","060B","7010","","","✔️","✔️","✔️","The Cougar 700K Evo controller implements all hardware modes
found in the OEM software but has not been able to include all
options for some modes. eg. Rainbow colour mode. Music mode was
deteremined to be a software driven effect which can be added with
the (OpenRGB Effects Engine plugin)[https://gitlab.com/OpenRGBDevelopers/OpenRGBEffectsPlugin]."
"Cougar Revenger ST","Mouse","USB","Cougar Revenger ST","12CF","0412","","","❌","✔️","✔️",""
"Creative Sound BlasterX G6","Headset","USB","Creative SoundBlasterX G6","041E","3256","","","❌","✔️","❌",""
"Crucial RAM","RAM","SMBus","","","","","","❌","✔️","✔️",""
"Dark Project Keyboard","Keyboard","USB","Dark Project KD3B V2","195D","2061","","","❌","✔️","❌","The Dark Project keyboard controller currently supports
the full size KD3B Version 2 (ANSI layout)."
"Das Keyboard","Keyboard","USB","Das Keyboard Q5 RGB","24F0","2020","","","❌","✔️","✔️",""
"Das Keyboard","Keyboard","USB","Das Keyboard Q4 RGB","24F0","2037","","","❌","✔️","✔️",""
"Debug","Unknown","I2C","","","","","","❌","❌","❌",""
"Ducky Keyboard","Keyboard","USB","Ducky Shine 7/Ducky One 2 RGB","04D9","0348","","","❌","✔️","❌",""
"Ducky Keyboard","Keyboard","USB","Ducky One 2 RGB TKL","04D9","0356","","","❌","✔️","❌",""
"EK Loop Connect","LEDStrip","USB","EK Loop Connect","0483","5750","","","🤖","❌","✔️",""
"ENE SMBus Device","RAM
Motherboard
GPU
Storage","SMBus","","","","","","✔️","✔️","✔️",""
"ENE SMBus Device","RAM
Motherboard
GPU
Storage","SMBus","","","","","","✔️","✔️","✔️",""
"ENE SMBus Device","RAM
Motherboard
GPU
Storage","SMBus","ASUS KO RTX 3060 OC O12G GAMING","10DE","2503","1043","87FB","✔️","✔️","✔️",""
"ENE SMBus Device","RAM
Motherboard
GPU
Storage","SMBus","ASUS TUF 3060 O12G GAMING","10DE","2503","1043","87F5","✔️","✔️","✔️",""
"ENE SMBus Device","RAM
Motherboard
GPU
Storage","SMBus","ASUS TUF 3060 O12G V2 GAMING","10DE","2487","1043","8865","✔️","✔️","✔️",""
"ENE SMBus Device","RAM
Motherboard
GPU
Storage","SMBus","ASUS TUF 3060 O12G V2 GAMING","10DE","2504","1043","8816","✔️","✔️","✔️",""
"ENE SMBus Device","RAM
Motherboard
GPU
Storage","SMBus","ASUS ROG STRIX 3060 12G GAMING","10DE","2503","1043","87F4","✔️","✔️","✔️",""
"ENE SMBus Device","RAM
Motherboard
GPU
Storage","SMBus","ASUS ROG STRIX 3060 O12G GAMING","10DE","2503","1043","87F3","✔️","✔️","✔️",""
"ENE SMBus Device","RAM
Motherboard
GPU
Storage","SMBus","ASUS ROG STRIX 3060 O12G V2 GAMING","10DE","2504","1043","8818","✔️","✔️","✔️",""
"ENE SMBus Device","RAM
Motherboard
GPU
Storage","SMBus","ASUS KO RTX 3060 O12G V2 GAMING","10DE","2504","1043","8821","✔️","✔️","✔️",""
"ENE SMBus Device","RAM
Motherboard
GPU
Storage","SMBus","ASUS KO RTX 3060Ti O8G V2 GAMING","10DE","2489","1043","883E","✔️","✔️","✔️",""
"ENE SMBus Device","RAM
Motherboard
GPU
Storage","SMBus","ASUS TUF RTX 3060Ti O8G OC","10DE","2486","1043","87C6","✔️","✔️","✔️",""
"ENE SMBus Device","RAM
Motherboard
GPU
Storage","SMBus","ASUS ROG STRIX 3060Ti O8G OC","10DE","2486","1043","87BA","✔️","✔️","✔️",""
"ENE SMBus Device","RAM
Motherboard
GPU
Storage","SMBus","ASUS TUF RTX 3060Ti O8G OC","10DE","2489","1043","8827","✔️","✔️","✔️",""
"ENE SMBus Device","RAM
Motherboard
GPU
Storage","SMBus","ASUS ROG STRIX 3060Ti O8G V2","10DE","2489","1043","8834","✔️","✔️","✔️",""
"ENE SMBus Device","RAM
Motherboard
GPU
Storage","SMBus","ASUS ROG STRIX 3070 OC","10DE","2484","1043","87B8","✔️","✔️","✔️",""
"ENE SMBus Device","RAM
Motherboard
GPU
Storage","SMBus","ASUS ROG STRIX 3070 O8G GAMING","10DE","2484","1043","87B9","✔️","✔️","✔️",""
"ENE SMBus Device","RAM
Motherboard
GPU
Storage","SMBus","ASUS ROG STRIX 3070 O8G White","10DE","2484","1043","87E0","✔️","✔️","✔️",""
"ENE SMBus Device","RAM
Motherboard
GPU
Storage","SMBus","ASUS ROG STRIX 3070 O8G V2 GAMING","10DE","2488","1043","882C","✔️","✔️","✔️",""
"ENE SMBus Device","RAM
Motherboard
GPU
Storage","SMBus","ASUS ROG STRIX 3070 O8G V2 White","10DE","2488","1043","8832","✔️","✔️","✔️",""
"ENE SMBus Device","RAM
Motherboard
GPU
Storage","SMBus","ASUS TUF RTX 3070 O8G GAMING","10DE","2484","1043","87C1","✔️","✔️","✔️",""
"ENE SMBus Device","RAM
Motherboard
GPU
Storage","SMBus","ASUS KO RTX 3070 O8G V2 GAMING","10DE","2488","1043","8842","✔️","✔️","✔️",""
"ENE SMBus Device","RAM
Motherboard
GPU
Storage","SMBus","ASUS TUF RTX 3070 O8G V2 GAMING","10DE","2488","1043","8825","✔️","✔️","✔️",""
"ENE SMBus Device","RAM
Motherboard
GPU
Storage","SMBus","ASUS ROG STRIX 3070Ti O8G GAMING","10DE","2482","1043","880E","✔️","✔️","✔️",""
"ENE SMBus Device","RAM
Motherboard
GPU
Storage","SMBus","ASUS TUF RTX 3070Ti O8G V2 GAMING","10DE","2482","1043","8812","✔️","✔️","✔️",""
"ENE SMBus Device","RAM
Motherboard
GPU
Storage","SMBus","ASUS TUF RTX 3070Ti O8G GAMING","10DE","2482","1043","8813","✔️","✔️","✔️",""
"ENE SMBus Device","RAM
Motherboard
GPU
Storage","SMBus","ASUS TUF RTX 3080 10G GAMING","10DE","2206","1043","87C4","✔️","✔️","✔️",""
"ENE SMBus Device","RAM
Motherboard
GPU
Storage","SMBus","ASUS TUF RTX 3080 10G GAMING","10DE","2206","1043","87B2","✔️","✔️","✔️",""
"ENE SMBus Device","RAM
Motherboard
GPU
Storage","SMBus","ASUS TUF RTX 3080 O10G OC","10DE","2206","1043","87B0","✔️","✔️","✔️",""
"ENE SMBus Device","RAM
Motherboard
GPU
Storage","SMBus","ASUS ROG STRIX 3080 10G GAMING","10DE","2206","1043","87AA","✔️","✔️","✔️",""
"ENE SMBus Device","RAM
Motherboard
GPU
Storage","SMBus","ASUS ROG STRIX 3080 O10G GAMING","10DE","2206","1043","87AC","✔️","✔️","✔️",""
"ENE SMBus Device","RAM
Motherboard
GPU
Storage","SMBus","ASUS ROG STRIX 3080 O10G WHITE","10DE","2206","1043","87D1","✔️","✔️","✔️",""
"ENE SMBus Device","RAM
Motherboard
GPU
Storage","SMBus","ASUS ROG STRIX 3080 10G V2 GAMING","10DE","2216","1043","882F","✔️","✔️","✔️",""
"ENE SMBus Device","RAM
Motherboard
GPU
Storage","SMBus","ASUS ROG STRIX 3080 O10G V2 GAMING","10DE","2216","1043","882E","✔️","✔️","✔️",""
"ENE SMBus Device","RAM
Motherboard
GPU
Storage","SMBus","ASUS ROG STRIX 3080 O10G V2 WHITE","10DE","2216","1043","8830","✔️","✔️","✔️",""
"ENE SMBus Device","RAM
Motherboard
GPU
Storage","SMBus","ASUS TUF RTX 3080 O10G V2 GAMING","10DE","2216","1043","8822","✔️","✔️","✔️",""
"ENE SMBus Device","RAM
Motherboard
GPU
Storage","SMBus","ASUS TUF RTX 3080 O10G V2 GAMING","10DE","2216","1043","8823","✔️","✔️","✔️",""
"ENE SMBus Device","RAM
Motherboard
GPU
Storage","SMBus","ASUS TUF RTX 3080 O12G GAMING","10DE","220A","1043","886E","✔️","✔️","✔️",""
"ENE SMBus Device","RAM
Motherboard
GPU
Storage","SMBus","ASUS ROG STRIX RTX 3080 12G","10DE","220A","1043","886C","✔️","✔️","✔️",""
"ENE SMBus Device","RAM
Motherboard
GPU
Storage","SMBus","ASUS ROG STRIX RTX 3080 O12G","10DE","220A","1043","886B","✔️","✔️","✔️",""
"ENE SMBus Device","RAM
Motherboard
GPU
Storage","SMBus","ASUS TUF RTX 3080Ti 12G GAMING","10DE","2208","1043","8803","✔️","✔️","✔️",""
"ENE SMBus Device","RAM
Motherboard
GPU
Storage","SMBus","ASUS TUF RTX 3080Ti O12G GAMING","10DE","2208","1043","8802","✔️","✔️","✔️",""
"ENE SMBus Device","RAM
Motherboard
GPU
Storage","SMBus","ASUS ROG STRIX 3080Ti O12G GAMING","10DE","2208","1043","8807","✔️","✔️","✔️",""
"ENE SMBus Device","RAM
Motherboard
GPU
Storage","SMBus","ASUS ROG STRIX LC 3080Ti O12G GAMING","10DE","2208","1043","8809","✔️","✔️","✔️",""
"ENE SMBus Device","RAM
Motherboard
GPU
Storage","SMBus","ASUS ROG STRIX 3090 24G GAMING","10DE","2204","1043","87AD","✔️","✔️","✔️",""
"ENE SMBus Device","RAM
Motherboard
GPU
Storage","SMBus","ASUS ROG STRIX 3090 O24G GAMING","10DE","2204","1043","87AF","✔️","✔️","✔️",""
"ENE SMBus Device","RAM
Motherboard
GPU
Storage","SMBus","ASUS ROG STRIX 3090 O24G GAMING White OC","10DE","2204","1043","87D9","✔️","✔️","✔️",""
"ENE SMBus Device","RAM
Motherboard
GPU
Storage","SMBus","ASUS TUF RTX 3090 O24G","10DE","2204","1043","87B5","✔️","✔️","✔️",""
"ENE SMBus Device","RAM
Motherboard
GPU
Storage","SMBus","ASUS TUF RTX 3090 O24G OC","10DE","2204","1043","87B3","✔️","✔️","✔️",""
"ENE SMBus Device","RAM
Motherboard
GPU
Storage","SMBus","ASUS TUF RX 6700XT O12G GAMING","1002","73DF","1043","05C9","✔️","✔️","✔️",""
"ENE SMBus Device","RAM
Motherboard
GPU
Storage","SMBus","ASUS ROG STRIX RX 6700XT O12G GAMING","1002","73DF","1043","05C7","✔️","✔️","✔️",""
"ENE SMBus Device","RAM
Motherboard
GPU
Storage","SMBus","ASUS TUF RX 6800XT O16G GAMING","1002","73BF","1043","04F2","✔️","✔️","✔️",""
"ENE SMBus Device","RAM
Motherboard
GPU
Storage","SMBus","ASUS TUF RX 6900XT O16G GAMING","1002","73BF","1043","04FA","✔️","✔️","✔️",""
"ENE SMBus Device","RAM
Motherboard
GPU
Storage","SMBus","ASUS TUF RX 6900XT T16G GAMING","1002","73AF","1043","04FE","✔️","✔️","✔️",""
"ENE SMBus Device","RAM
Motherboard
GPU
Storage","SMBus","ASUS TUF RTX 4090 O24G OC","10DE","2684","1043","889A","✔️","✔️","✔️",""
"ENE SMBus Device","RAM
Motherboard
GPU
Storage","SMBus","ASUS TUF RTX 4090 O24G","10DE","2684","1043","889B","✔️","✔️","✔️",""
"EVGA RGB v3 GPU","GPU","I2C","EVGA GeForce RTX 3060TI FTW3 Gaming","10DE","2486","3842","3665","✔️","✔️","✔️","EVGA has not exposed a per LED control method yet so OpenRGB
is only able to set all LED's to a single color."
"EVGA RGB v3 GPU","GPU","I2C","EVGA GeForce RTX 3060TI FTW3 Ultra","10DE","2486","3842","3667","✔️","✔️","✔️","EVGA has not exposed a per LED control method yet so OpenRGB
is only able to set all LED's to a single color."
"EVGA RGB v3 GPU","GPU","I2C","EVGA GeForce RTX 3060TI FTW3 Ultra LHR","10DE","2489","3842","4667","✔️","✔️","✔️","EVGA has not exposed a per LED control method yet so OpenRGB
is only able to set all LED's to a single color."
"EVGA RGB v3 GPU","GPU","I2C","EVGA GeForce RTX 3070 Black Gaming","10DE","2484","3842","3751","✔️","✔️","✔️","EVGA has not exposed a per LED control method yet so OpenRGB
is only able to set all LED's to a single color."
"EVGA RGB v3 GPU","GPU","I2C","EVGA GeForce RTX 3070 XC3 Gaming","10DE","2484","3842","3753","✔️","✔️","✔️","EVGA has not exposed a per LED control method yet so OpenRGB
is only able to set all LED's to a single color."
"EVGA RGB v3 GPU","GPU","I2C","EVGA GeForce RTX 3070 XC3 Ultra","10DE","2484","3842","3755","✔️","✔️","✔️","EVGA has not exposed a per LED control method yet so OpenRGB
is only able to set all LED's to a single color."
"EVGA RGB v3 GPU","GPU","I2C","EVGA GeForce RTX 3070 XC3 Ultra LHR","10DE","2488","3842","4755","✔️","✔️","✔️","EVGA has not exposed a per LED control method yet so OpenRGB
is only able to set all LED's to a single color."
"EVGA RGB v3 GPU","GPU","I2C","EVGA GeForce RTX 3070 FTW3 Ultra","10DE","2484","3842","3767","✔️","✔️","✔️","EVGA has not exposed a per LED control method yet so OpenRGB
is only able to set all LED's to a single color."
"EVGA RGB v3 GPU","GPU","I2C","EVGA GeForce RTX 3070 FTW3 Ultra LHR","10DE","2488","3842","4767","✔️","✔️","✔️","EVGA has not exposed a per LED control method yet so OpenRGB
is only able to set all LED's to a single color."
"EVGA RGB v3 GPU","GPU","I2C","EVGA GeForce RTX 3070Ti XC3 Gaming","10DE","2482","3842","3783","✔️","✔️","✔️","EVGA has not exposed a per LED control method yet so OpenRGB
is only able to set all LED's to a single color."
"EVGA RGB v3 GPU","GPU","I2C","EVGA GeForce RTX 3070Ti XC3 Ultra","10DE","2482","3842","3785","✔️","✔️","✔️","EVGA has not exposed a per LED control method yet so OpenRGB
is only able to set all LED's to a single color."
"EVGA RGB v3 GPU","GPU","I2C","EVGA GeForce RTX 3070Ti XC3 Ultra v2","10DE","2482","3842","3485","✔️","✔️","✔️","EVGA has not exposed a per LED control method yet so OpenRGB
is only able to set all LED's to a single color."
"EVGA RGB v3 GPU","GPU","I2C","EVGA GeForce RTX 3070Ti FTW3 Ultra","10DE","2482","3842","3797","✔️","✔️","✔️","EVGA has not exposed a per LED control method yet so OpenRGB
is only able to set all LED's to a single color."
"EVGA RGB v3 GPU","GPU","I2C","EVGA GeForce RTX 3070Ti FTW3 Ultra v2","10DE","2482","3842","3497","✔️","✔️","✔️","EVGA has not exposed a per LED control method yet so OpenRGB
is only able to set all LED's to a single color."
"EVGA RGB v3 GPU","GPU","I2C","EVGA GeForce RTX 3080 XC3 Black","10DE","2206","3842","3881","✔️","✔️","✔️","EVGA has not exposed a per LED control method yet so OpenRGB
is only able to set all LED's to a single color."
"EVGA RGB v3 GPU","GPU","I2C","EVGA GeForce RTX 3080 XC3 Black LHR","10DE","2216","3842","4881","✔️","✔️","✔️","EVGA has not exposed a per LED control method yet so OpenRGB
is only able to set all LED's to a single color."
"EVGA RGB v3 GPU","GPU","I2C","EVGA GeForce RTX 3080 XC3 Gaming","10DE","2206","3842","3883","✔️","✔️","✔️","EVGA has not exposed a per LED control method yet so OpenRGB
is only able to set all LED's to a single color."
"EVGA RGB v3 GPU","GPU","I2C","EVGA GeForce RTX 3080 XC3 Gaming LHR","10DE","2216","3842","4883","✔️","✔️","✔️","EVGA has not exposed a per LED control method yet so OpenRGB
is only able to set all LED's to a single color."
"EVGA RGB v3 GPU","GPU","I2C","EVGA GeForce RTX 3080 XC3 Ultra","10DE","2206","3842","3885","✔️","✔️","✔️","EVGA has not exposed a per LED control method yet so OpenRGB
is only able to set all LED's to a single color."
"EVGA RGB v3 GPU","GPU","I2C","EVGA GeForce RTX 3080 XC3 Ultra LHR","10DE","2216","3842","4885","✔️","✔️","✔️","EVGA has not exposed a per LED control method yet so OpenRGB
is only able to set all LED's to a single color."
"EVGA RGB v3 GPU","GPU","I2C","EVGA GeForce RTX 3080 XC3 Ultra Hybrid","10DE","2206","3842","3888","✔️","✔️","✔️","EVGA has not exposed a per LED control method yet so OpenRGB
is only able to set all LED's to a single color."
"EVGA RGB v3 GPU","GPU","I2C","EVGA GeForce RTX 3080 XC3 Ultra Hybrid LHR","10DE","2216","3842","4888","✔️","✔️","✔️","EVGA has not exposed a per LED control method yet so OpenRGB
is only able to set all LED's to a single color."
"EVGA RGB v3 GPU","GPU","I2C","EVGA GeForce RTX 3080 XC3 Ultra Hydro Copper","10DE","2206","3842","3889","✔️","✔️","✔️","EVGA has not exposed a per LED control method yet so OpenRGB
is only able to set all LED's to a single color."
"EVGA RGB v3 GPU","GPU","I2C","EVGA GeForce RTX 3080 FTW3 Gaming","10DE","2206","3842","3895","✔️","✔️","✔️","EVGA has not exposed a per LED control method yet so OpenRGB
is only able to set all LED's to a single color."
"EVGA RGB v3 GPU","GPU","I2C","EVGA GeForce RTX 3080 FTW3 Ultra","10DE","2206","3842","3897","✔️","✔️","✔️","EVGA has not exposed a per LED control method yet so OpenRGB
is only able to set all LED's to a single color."
"EVGA RGB v3 GPU","GPU","I2C","EVGA GeForce RTX 3080 FTW3 Ultra v2 LHR","10DE","2216","3842","4297","✔️","✔️","✔️","EVGA has not exposed a per LED control method yet so OpenRGB
is only able to set all LED's to a single color."
"EVGA RGB v3 GPU","GPU","I2C","EVGA GeForce RTX 3080 FTW3 Ultra LHR","10DE","2216","3842","4897","✔️","✔️","✔️","EVGA has not exposed a per LED control method yet so OpenRGB
is only able to set all LED's to a single color."
"EVGA RGB v3 GPU","GPU","I2C","EVGA GeForce RTX 3080 FTW3 Ultra Hybrid","10DE","2206","3842","3898","✔️","✔️","✔️","EVGA has not exposed a per LED control method yet so OpenRGB
is only able to set all LED's to a single color."
"EVGA RGB v3 GPU","GPU","I2C","EVGA GeForce RTX 3080 FTW3 Ultra Hybrid LHR","10DE","2216","3842","4898","✔️","✔️","✔️","EVGA has not exposed a per LED control method yet so OpenRGB
is only able to set all LED's to a single color."
